property_name,link,society,price,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id
2 BHK Flat in Bavdhan,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bavdhan-pune-945-sq-ft-spid-R70398614,Opp Bank Of Maharashtra,85 Lac,"₹ 8,994/sq.ft.",Built Up area: 945 (87.79 sq.m.)Carpet area: 710 sq.ft. (65.96 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,,"Bavdhan, Pune, Maharashtra",2nd   of 9 Floors,North-West,1 to 5 Year Old,"['Hanuman Mandir', 'State bank of india ATM', 'Sbi ATM', 'Icici ATM', 'Axis bank ATM', 'Bhavdhan Medicare Centre', 'HEART HEALTH CLINIC', 'Om Hospital', 'Borse Nursing Home', 'Orthopedic Spine Surgeon Dr Uday Pote', 'Chellaram Hospital', 'FPA Kothrud', 'Kurtkoti Nursing Home', 'Micro Dentist Clinic', 'Apple medical store', 'Matoshree Medico', 'Metro Chemist', 'State bank of india bavdhan branch', 'Bavdhan merchant bank', 'Saraswat bank bavdhan branch', 'Icici bank bavdhan branch', 'Axis bank', 'Saraswat bank', 'State bank of india', 'Indusind bank', 'Axis bank', 'D Palace', 'Om Sai Expresso', 'Om Sai Snacks and juice center', 'KFC', 'Subway', 'Trikaya', ""Andy's"", 'Cafe Peter', '21 Hill Street', 'Coffee Day', 'Apache', 'Banjara Hills', 'The Breakfast Cafe', 'Up and Above', 'Coffee Day', 'The Mint Leaf', 'Cafe Cofee Day', 'Dine Street', 'Cafe coffee shop', ""McDonald's"", 'New India School']","New brand 2 bhk flat sale lift car parking balcony , dry balcony , near vidnyannagar bavdhan see flat call me ...Option floor 9th and 1st ..
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Lift(s)']","['Lifestyle4.1 out of 5', 'Connectivity4.1 out of 5', 'Safety4.1 out of 5', 'Environment4.1 out of 5']",R70398614
2 BHK Flat in Bavdhan,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-bavdhan-pune-1226-sq-ft-spid-V70249022,on request,1.05 Crore,"₹ 8,564/sq.ft.",Built Up area: 1226 (113.9 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,,"Bavdhan, Pune, Maharashtra",7th   of 9 Floors,South-West,10+ Year Old,"['Hanuman Mandir', 'State bank of india ATM', 'Sbi ATM', 'Icici ATM', 'Axis bank ATM', 'Bhavdhan Medicare Centre', 'HEART HEALTH CLINIC', 'Om Hospital', 'Borse Nursing Home', 'Orthopedic Spine Surgeon Dr Uday Pote', 'Chellaram Hospital', 'FPA Kothrud', 'Kurtkoti Nursing Home', 'Micro Dentist Clinic', 'Apple medical store', 'Matoshree Medico', 'Metro Chemist', 'State bank of india bavdhan branch', 'Bavdhan merchant bank', 'Saraswat bank bavdhan branch', 'Icici bank bavdhan branch', 'Axis bank', 'Saraswat bank', 'State bank of india', 'Indusind bank', 'Axis bank', 'D Palace', 'Om Sai Expresso', 'Om Sai Snacks and juice center', 'KFC', 'Subway', 'Trikaya', ""Andy's"", 'Cafe Peter', '21 Hill Street', 'Coffee Day', 'Apache', 'Banjara Hills', 'The Breakfast Cafe', 'Up and Above', 'Coffee Day', 'The Mint Leaf', 'Cafe Cofee Day', 'Dine Street', 'Cafe coffee shop', ""McDonald's"", 'New India School']","Big 2 bhk semi furnish flat sale lift car parking 2 balcony ..Society security near lmd chowk bavdhan ..Price nigo call see this flat
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.","['2 Fan', '1 Geyser', '4 Light', '1 Modular Kitchen', '1 Wardrobe', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",['Security / Fire Alarm'],"['Lifestyle4.1 out of 5', 'Connectivity4.1 out of 5', 'Safety4.1 out of 5', 'Environment4.1 out of 5']",V70249022
3 BHK Flat in Kothrud,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kothrud-pune-1700-sq-ft-spid-O70456160,on request,1.9 Crore,"₹ 11,176/sq.ft.",Built Up area: 1700 (157.94 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3 Bedrooms,3 Bathrooms,No Balcony,,"Kothrud, Pune, Maharashtra",Ground of 3 Floors,West,10+ Year Old,"['Vanaz metro station', 'Vithoba Temple', 'Ramkrishna Paramhansnagar Sarvajanik Ganeshotsav Mandal', 'Ganesh Temple', 'Hdfc bank ATM', 'Icici bank ATM', 'Sbi ATM', 'Union bank ATM', 'City Hospital', 'Kurtkoti Nursing Home', 'Sathe Multispeciality Hospital', 'Kulkarni Endo Surgery Institute and Reconstructive Urology Centre', 'Orthopedic Spine Surgeon Dr Uday Pote', 'Borse Nursing Home', 'Sahyadri Hospital', 'FPA Kothrud', 'Suryaprabha Nursing Home', 'Grace Skin & Hair Transplant Center', 'Argade Infertility and Endoscopic Surgery and Icu Center', 'Rajlakshmi-Kaladarshan Hall', 'Shrinath Medicos', 'Vasu Medicals', 'Bharat Ajay Gas', 'The malkapur urban co-op bank ltd', 'The yavatmal urban co-op bank ltd', 'Indusind bank', 'State bank of india', 'Saraswat bank', 'Axis bank', 'Svc bank', 'Cosmos bank', 'Cosmos co-operative bank ltd branch', 'Union bank', ""McDonald's"", 'Cafe coffee shop', 'Vedant', 'The Brown Cafe', 'Mankar Dosa', 'Cafe Cofee Day', 'Hotel Kinara', 'Garma Garam', 'Coffee Day', 'Samarath Hotel', 'Oasis', 'Pratik Paav Bhaji', ""De Baker's Lounge"", 'New India School', 'Grammangal', 'Gandhi bhavan library']","Sale 3 bhk ground floor flat 1700sq ft flat area and 1700sq ft open space behind maharaja complex paud road kothrud ready possession see flat call me
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",,,"['Lifestyle4.4 out of 5', 'Connectivity4.4 out of 5', 'Safety4.3 out of 5', 'Environment4.3 out of 5']",O70456160
3 BHK Flat in Kothrud,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kothrud-pune-1490-sq-ft-spid-X70457392,Right Bhusari Colony,1.59 Crore,"₹ 10,671/sq.ft.",Built Up area: 1490 (138.43 sq.m.)Carpet area: 1103 sq.ft. (102.47 sq.m.),3 Bedrooms,3 Bathrooms,2 Balconies,,"Kothrud, Pune, Maharashtra",2nd   of 5 Floors,North-East,1 to 5 Year Old,"['Vanaz metro station', 'Vithoba Temple', 'Ramkrishna Paramhansnagar Sarvajanik Ganeshotsav Mandal', 'Ganesh Temple', 'Hdfc bank ATM', 'Icici bank ATM', 'Sbi ATM', 'Union bank ATM', 'City Hospital', 'Kurtkoti Nursing Home', 'Sathe Multispeciality Hospital', 'Kulkarni Endo Surgery Institute and Reconstructive Urology Centre', 'Orthopedic Spine Surgeon Dr Uday Pote', 'Borse Nursing Home', 'Sahyadri Hospital', 'FPA Kothrud', 'Suryaprabha Nursing Home', 'Grace Skin & Hair Transplant Center', 'Argade Infertility and Endoscopic Surgery and Icu Center', 'Rajlakshmi-Kaladarshan Hall', 'Shrinath Medicos', 'Vasu Medicals', 'Bharat Ajay Gas', 'The malkapur urban co-op bank ltd', 'The yavatmal urban co-op bank ltd', 'Indusind bank', 'State bank of india', 'Saraswat bank', 'Axis bank', 'Svc bank', 'Cosmos bank', 'Cosmos co-operative bank ltd branch', 'Union bank', ""McDonald's"", 'Cafe coffee shop', 'Vedant', 'The Brown Cafe', 'Mankar Dosa', 'Cafe Cofee Day', 'Hotel Kinara', 'Garma Garam', 'Coffee Day', 'Samarath Hotel', 'Oasis', 'Pratik Paav Bhaji', ""De Baker's Lounge"", 'New India School', 'Grammangal', 'Gandhi bhavan library']","3 bhk new brand flat for sale near right bhusari colony kothrud price nigo
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",,['Security / Fire Alarm'],"['Lifestyle4.4 out of 5', 'Connectivity4.4 out of 5', 'Safety4.3 out of 5', 'Environment4.3 out of 5']",X70457392
3 BHK Flat in Kharadi,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-panchshil-towers-kharadi-pune-2950-sq-ft-spid-F70339868,Panchshil Towers4.2 ★,3 Crore,"₹ 11,016/sq.ft.",Super Built up area 2950(274.06 sq.m.)Built Up area: 2850 sq.ft. (264.77 sq.m.),3 Bedrooms,4 Bathrooms,2 Balconies,Servant Room,"No 47, Kharadi, Pune, Maharashtra",7th   of 32 Floors,North-West,1 to 5 Year Old,"['Connectivity to EON Free Zone Road', 'Walking distance to DPCOE', 'Oxford World School in neighborhood', 'Close to Columbia Asia Hospital', 'Proximity to Pune International Airport', 'Pune Railway Station within reach']","Panchshil towers is one of pune's most sought after destination for apartments and this 3 bhk flat in kharadi is your opportunity to be a part of this community. This is a east-Facing property. Constructed on a super built up area of 2950 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and 2 balconies. The flat has a total of 32 floors and this property is situated on 7th floor. This is a ready to move project and the property is 1-5 years old. The well built marble flooring enhances the aesthetic appeal of this flat. All the modern amenities such as swimming pool, water softening plant, security personnel, maintenance staff, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s) and visitor parking will make life easier for you. The project provides access to clean water through municipal corporation supply.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Partial power backup is available.
The society has dedicated security guards for every tower.","['1 Water Purifier', '3 Fan', '1 Exhaust Fan', '1 Dining Table', '3 Geyser', '1 Microwave', '3 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Management4 out of 5', 'Connectivity4.2 out of 5', 'Amenities4.3 out of 5', 'Construction4.1 out of 5', 'Green Area4.2 out of 5']",F70339868
1 BHK Flat in Keshav Nagar,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-godrej-infinity-keshav-nagar-pune-690-sq-ft-spid-L70747474,Godrej Infinity4.4 ★,55 Lac,"₹ 7,971/sq.ft.",Super Built up area 690(64.1 sq.m.)Built Up area: 667 sq.ft. (61.97 sq.m.)Carpet area: 552 sq.ft. (51.28 sq.m.),1 Bedroom,2 Bathrooms,2 Balconies,Others,"012, Keshav Nagar, Pune, Maharashtra",12nd   of 22 Floors,North-West,1 to 5 Year Old,"['Supermart', 'Seasons Mall', 'G Mall', 'Amanora Mall', 'Inorbit Mall', 'Magarpatta Road', 'Kharadi-Mundwa Bridge', 'The Orbis School', 'St.Oscar Convent High School', 'SNBP International School', 'DPCOE', 'Vighneshwar Hospital', 'Manipal Hospital', 'Sakharam Kundlik Kodre Kutir', 'Hadapsar']","This lovely 1 bhk apartment/flat in keshav nagar is available for sale in one of pune's most popular projects, godrej infinity. Constructed on a super built up area of 690 sq.Ft., the flat comprises 1 bedroom(s), 2 bathrooms and 2 balconies. This flat lies on the 12th level of a 22 storey building. This is a ready to move project and the property is 1-5 years old.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Partial power backup is available.
The society has dedicated security guards for every tower.","['1 Water Purifier', '3 Fan', '1 Exhaust Fan', '1 Geyser', '4 Light', '1 Modular Kitchen', '1 Curtains', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Management4.2 out of 5', 'Connectivity4.2 out of 5', 'Amenities4.5 out of 5', 'Construction4.4 out of 5', 'Green Area4.4 out of 5']",L70747474
3 BHK Flat in Pashan,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-mont-vert-grande-pashan-pune-1380-sq-ft-spid-R70291746,Mont Vert Grande,1.32 Crore,"₹ 9,565/sq.ft.",Carpet area: 1380 (128.21 sq.m.),3 Bedrooms,3 Bathrooms,2 Balconies,,"Pashan, Pune, Maharashtra",3rd   of 11 Floors,North,5 to 10 Year Old,"['Westend Mall Connectivity', 'St. Joseph’s High School', 'Vitalife Clinic in vicinity', 'Surya Hospital Connectivity', 'ICICI Bank in close proximity', 'Mahabaleshwar Hotel Nearby', 'Reliance Fresh in vicinity']","Mont vert grande is one of the most popular destination for buying apartments/ flats in pashan, pune. You too can be a part of this society by purchasing this 3 bhk flat here. The flat is over 1380 sq.Ft. Carpet area and comes with 3 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the 3rd level of a 11 storey building. As the project is already ready to move, so you can easily move into this 5-10 years old property.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle4.4 out of 5', 'Connectivity4.4 out of 5', 'Safety4.3 out of 5', 'Environment4.2 out of 5']",R70291746
3 BHK Flat in Kaspate Vasti,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-atul-paradiso-kaspate-vasti-pune-1470-sq-ft-spid-O70181934,Atul Paradiso,1.2 Crore,"₹ 8,163/sq.ft.",Built Up area: 1470 (136.57 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),3 Bedrooms,3 Bathrooms,2 Balconies,,"Kaspate Vasti, Pune, Maharashtra",6th   of 13 Floors,South-West,5 to 10 Year Old,"['Dakshinmukhi Maruti Mandir', 'Ganpati Temple', 'Maruti Mandir', 'Icici bank ATM', 'Yes bank ATM', 'South indian bank ATM', 'Indusind bank ATM', 'Punjab national bank ATM', 'Apple Hospital', 'NRS hospital', 'MedPlus', 'Shifa medical', 'Indian Petrol Pump', 'Kotak mahindra bank', 'Andhra bank', 'Yes bank', 'South indian bank', 'Airtel payment bank', 'Oriental Kitchen', 'Red Curry', 'Shaurya', 'Merazo', 'The Chinese Wok', 'Tehelka', 'Paratha Express', 'Raj Chinese House', 'Copa Cabana', 'Durga ji Bhel', 'Khyber', 'House of Parathas', 'Chinese Square', 'Danish Darbar', 'Namah', 'Akshat Hotel', 'Sugarcane juice shop', 'Juice shop', 'Ganesh Bhel', 'Durga Restaurant', 'Badhai Sweets', 'Chakhna Express', 'Chakhna Point', 'Mad Momos', 'The Breakfast Box', ""Reddy's Biryani Zone"", 'Al Zaika', 'Balle Balle Punjabi', 'Valentine Square', 'Laxmibai Nandagude School', 'Wisdom International School']","Atul paradiso is one of pune's most sought after destination for apartments and this 3 bhk flat in kaspate vasti is your opportunity to be a part of this community. The flat occupies a built up area of 1470 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 2 balconies. The property is located on the 6th floor of a 13 floors tall building. This is a ready to move project and the property is 5-10 years old.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle3.9 out of 5', 'Connectivity4 out of 5', 'Safety3.8 out of 5', 'Environment3.6 out of 5']",O70181934
2 BHK Flat in Laxman Nagar,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-nandan-spectra-laxman-nagar-pune-1065-sq-ft-spid-Z70651326,Nandan Spectra,1.15 Crore,"₹ 13,529/sq.ft.",Super Built up area 1065(98.94 sq.m.)Carpet area: 850 sq.ft. (78.97 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,,"Laxman Nagar, Pune, Maharashtra",11st   of 13 Floors,East,5 to 10 Year Old,"['Health Bay Clinic', 'Ashwini Hospital', 'Accord Hospital', 'State bank of india', 'Svc bank balewadi branch', 'Bank of maharashtra', 'Lokmanya multipurpose co-op bank', 'Equitas small finance bank', 'Dena bank', 'Icici bank', 'Sbi intouch bank', 'Taco Bell', 'Playboy Beer Garden', ""Arthur's Theme"", 'Crazy Noodles', 'Hippie Heart', 'Tales and Spirits', 'Gong', 'Marrakesh', 'Mr.Vandal', 'La Pizzeria', 'Independence Brewing Co.', ""McDonald's"", 'Incognito', 'Subway', 'Starbucks', 'Masalabar', 'SWIG Bar & Eatery', 'Urban Foundry', 'Terttulia Bistro', 'Apache Fluid', 'Nawaab Asia', 'Deewan Khana', '1BHK Superbar', 'Elora Artisan Kitchen', 'No Strings Attached', 'The Poona Canteen', 'Mavala Darbar', 'mothers kitchen', 'Nirvana', 'The 3 Musketeers Pub', 'Sadanand Resorts', 'Orion', 'Cabaret', 'Post 91', 'Shri Mhatoba Tukaram Balwadkar Vidyalay', 'Bharti Vidyapeeth English Medium School', 'Moze College']","This 2 bhk apartment is available for sale in nandan spectra, one of the most prominent projects for flats in laxman nagar, pune. The flat is facing the east direction. Constructed on a super built up area of 1065 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 2 balconies. This flat lies on the 11th level of a 13 storey building. This is a ready to move project and the property is 5-10 years old. The beautifully designed vitrified flooring enhances the beauty of the flat. The society is well equipped with many modern amenities, including maintenance staff, visitor parking, park and lift(s). The project provides access to clean water through borewell/tank and municipal corporation supply.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['1 Wardrobe', '1 Water Purifier', '4 Fan', '1 Geyser', '4 Light', '1 Curtains', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Exhaust Fan', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",,Z70651326
2 BHK Flat in Pashan,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mont-vert-finesse-pashan-pune-1150-sq-ft-spid-G70560248,Mont Vert Finesse,1.05 Crore,"₹ 11,666/sq.ft.",Super Built up area 1150(106.84 sq.m.)Built Up area: 1046 sq.ft. (97.18 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,,"Baner Pashan Lin Road, Pashan, Pune, Maharashtra",2nd   of 11 Floors,South-West,5 to 10 Year Old,"['Athashri Temple', 'Shri Swami Samarth Temple', 'State bank ATM', 'Saraswat bank ATM', 'Sbi ATM', 'Bank of maharashtra ATM', 'Sbi ATM', 'Hdfc bank ATM', 'PRECISION DENTAL CARE', ""Dr Rasika's Dental Wellness Centre"", 'Psychwellness Clinic', 'Dr. Uma Alurkar', 'Dr Gupte Hospital', 'Lotus Paediatrics Clinic', 'SUNSHINE ORTHOPEDIC CLINIC', 'Gupte Hospital Extension Clinic', 'Prakash Netralaya', 'VitaLife Clinic', ""Dr. Mane's Dental Clinic"", 'Chetan Pharmacy', 'Religare Pharmacy', 'Gold Coast Visitor Parking', 'Bharat Petroleum', 'Saraswat bank baner branch', 'Axis bank', 'Bank of baroda', 'State bank of india baner branch', 'Hdfc bank', 'Idbi bank', 'Tsaai Sshen Yeh', 'Pagdandi', 'Origin Bistro', 'Chota Bite by Cafe Goodluck', ""Greedy Man's Pizzeria"", 'Sugardough', 'Scagegoat', 'Food Court', ""Domino's"", 'Oriental Story', ""Agent Jack's"", 'Durga cafe', 'Subway', 'Teddy Boy', 'Thikana baner', 'Saffron', 'Mast Kalandar', 'Eatsome', 'Pancard Clubs', 'Solaris Club']","Check out this 2 bhk apartment for sale in mont vert finesse, a popular residential project that houses in-Demand flats in pashan, pune. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1150 sq.Ft. This flat is situated on the 2nd floor of this 11 floors tall residential building. This 5-10 years old property is available for immediate possession as the project is ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['5 Fan', '1 Exhaust Fan', '2 Geyser', '1 Stove', '5 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle4.4 out of 5', 'Connectivity4.4 out of 5', 'Safety4.3 out of 5', 'Environment4.2 out of 5']",G70560248
2 BHK Flat in Keshav Nagar,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-rejuve-keshav-nagar-pune-1100-sq-ft-r1-spid-P69270894,Godrej Rejuve,75 Lac,"₹ 6,818/sq.ft.",Super Built up area 1100(102.19 sq.m.)Built Up area: 915 sq.ft. (85.01 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,Store Room,"009, Keshav Nagar, Pune, Maharashtra",9th   of 19 Floors,West,1 to 5 Year Old,"['Amanora Town Centre', 'NH 965', 'Orbis School', 'Christ College', 'Columbia Asia Hospital', 'Pune International Airport', 'Hadapsar', 'Eon IT Park', 'Radisson Blu', 'Southern Star Golf Course', 'SRPF Stadium Pune']","Godrej rejuve is one of the most popular destination for buying apartments/ flats in keshav nagar, pune. You too can be a part of this society by purchasing this 2 bhk flat here. Containing 2 bedroom(s), 2 bathrooms and 3 balconies, this flat is spread over a super built up area of 1100 sq.Ft. This flat lies on the 9th level of a 19 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. All the modern amenities such as swimming pool, club house / community center, fitness centre / gym, park and lift(s) will make life easier for you.
 
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Partial power backup is available.
The society has dedicated security guards for every tower.","['1 Water Purifier', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine']","['Power Back-up', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Swimming Pool', 'False Ceiling Lighting', 'Park', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']","['Lifestyle3.9 out of 5', 'Connectivity4.2 out of 5', 'Safety4 out of 5', 'Environment3.8 out of 5']",P69270894
3 BHK Flat in Kharadi,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kohinoor-zen-estate-kharadi-pune-1350-sq-ft-spid-X69953618,Kohinoor Zen Estate,1.35 Crore,"₹ 10,000/sq.ft.",Super Built up area 1350(125.42 sq.m.)Built Up area: 1100 sq.ft. (102.19 sq.m.)Carpet area: 1064 sq.ft. (98.85 sq.m.),3 Bedrooms,3 Bathrooms,2 Balconies,Store Room,"001, Kharadi, Pune, Maharashtra",9th   of 15 Floors,North-East,1 to 5 Year Old,"['Ramwadi Metro Station', 'Amanora Mall', 'Magarpatta Road (NH 27)', 'The Orbis School', 'Savitribai Phule Pune University', 'Manipal Hospital', 'Pune International Airport', 'Pune Railway Station', 'Fairfield by Marriott Pune', 'Southern Star Golf Course', 'Rajaram Bhiku Pathare Stadium', 'Eon IT Park Pune']","3 bhk well maintained flat available for sale in zen estate society, kharadi pune. It has nice ventilation and good sunlight. This society has easy access to 2 big malls, hospitals, schools, banks, atm and it companies etc. All modern amenities like garden, kids play area, club house, 24hr electricity and water supply, power back up for lifts, security etc available in society. Price mentioned here is a basic price and stamp duty, registration charges, transfer charges and one time maintenance difference needs to be paid by the buyer. For more details and visit please get in touch with us
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Partial power backup is available.
The society has dedicated security guards for every tower.",,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Water purifier', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Lifestyle4.1 out of 5', 'Connectivity4.2 out of 5', 'Safety4.1 out of 5', 'Environment4 out of 5']",X69953618
